DateTime_utc,NeutronCount_Epithermal_Cum1h,NeutronCount_Slow_Cum1h,AirTemperature,AirHumidity_Relative,AirPressure,Precipitation,AirTemperature_Sensor2,AirHumidity_Relative_Sensor2
2014-01-09 11:00:00+00:00,655.0,,,,996.2,,8.9,93.9
2014-01-09 12:00:00+00:00,715.0,431.0,,,994.3,,10.1,84.4
2014-01-09 13:00:00+00:00,741.0,473.0,,,993.6,,10.6,80.1
2014-01-09 14:00:00+00:00,713.0,488.0,,,992.6,,11.1,77.1
2014-01-09 15:00:00+00:00,734.0,506.0,,,991.3,,11.6,75.5
2014-01-09 16:00:00+00:00,719.0,514.0,,,990.1,,11.9,74.7
2014-01-09 17:00:00+00:00,720.0,491.0,,,989.6,,12.2,73.6
2014-01-09 18:00:00+00:00,738.0,489.0,,,990.1,,11.8,70.9
2014-01-09 19:00:00+00:00,686.0,519.0,,,990.1,,11.5,70.5
2014-01-09 20:00:00+00:00,729.0,539.0,,,990.5,,11.3,70.4
2014-01-09 21:00:00+00:00,788.0,556.0,,,991.5,,10.5,68.7
2014-01-09 22:00:00+00:00,749.0,517.0,,,993.1,,9.8,69.0
2014-01-09 23:00:00+00:00,746.0,531.0,,,992.9,,9.5,69.5
2014-01-10 00:00:00+00:00,692.0,480.0,,,993.7,,9.3,69.7
2014-01-10 01:00:00+00:00,748.0,490.0,,,994.9,,8.7,69.1
2014-01-10 02:00:00+00:00,722.0,422.0,,,995.6,,8.4,69.2
2014-01-10 03:00:00+00:00,737.0,459.0,,,996.4,,8.3,69.6
2014-01-10 04:00:00+00:00,649.0,522.0,,,997.0,,8.1,69.5
2014-01-10 05:00:00+00:00,660.0,493.0,,,997.8,,7.7,69.2
2014-01-10 06:00:00+00:00,637.0,469.0,,,998.6,,7.5,69.2
2014-01-10 07:00:00+00:00,672.0,442.0,,,999.3,,7.3,69.5
2014-01-10 08:00:00+00:00,710.0,472.0,,,1000.4,,7.4,69.8
2014-01-10 09:00:00+00:00,681.0,447.0,,,1001.1,,7.5,70.2
2014-01-10 10:00:00+00:00,670.0,416.0,,,1001.2,,8.0,71.4
2014-01-10 11:00:00+00:00,699.0,458.0,,,1001.6,,8.1,71.1
2014-01-10 12:00:00+00:00,659.0,476.0,,,1001.9,,8.4,71.6
2014-01-10 13:00:00+00:00,657.0,428.0,,,1002.7,,8.3,70.2
2014-01-10 14:00:00+00:00,643.0,426.0,,,1003.4,,8.2,69.3
2014-01-10 15:00:00+00:00,687.0,439.0,,,1004.1,,7.9,69.0
2014-01-10 16:00:00+00:00,655.0,443.0,,,1004.7,,7.8,68.8
2014-01-10 17:00:00+00:00,618.0,444.0,,,1004.9,,7.5,68.6
2014-01-10 18:00:00+00:00,653.0,417.0,,,1005.4,,7.4,68.9
2014-01-10 19:00:00+00:00,633.0,451.0,,,1005.7,,7.4,68.9
2014-01-10 20:00:00+00:00,661.0,449.0,,,1006.2,,7.2,68.9
2014-01-10 21:00:00+00:00,669.0,469.0,,,1006.2,,7.2,69.1
2014-01-10 22:00:00+00:00,610.0,455.0,,,1006.2,,7.1,68.7
2014-01-10 23:00:00+00:00,631.0,408.0,,,1006.6,,6.9,68.6
2014-01-11 00:00:00+00:00,662.0,439.0,,,1006.4,,7.0,69.0
