Datetime,neutrons,muons,gamma,integration_time(s),V_in(Volt),temperature_in(C),temperature_ext(C),ur(%),pressure(hPa)
2023-11-24 01:00:00,,,,,,,,,
2023-11-24 02:00:00,,,,,,,,,
2023-11-24 03:00:00,,,,,,,,,
2023-11-24 04:00:00,,,,,,,,,
2023-11-24 05:00:00,,,,,,,,,
2023-11-24 06:00:00,,,,,,,,,
2023-11-24 07:00:00,,,,,,,,,
2023-11-24 08:00:00,,,,,,,,,
2023-11-24 09:00:00,,,,,,,,,
2023-11-24 10:00:00,,,,,,,,,
2023-11-24 11:00:00,,,,,,,,,
2023-11-24 12:00:00,,,,,,,,,
2023-11-24 13:00:00,1915,7701,,132.5,12.5,12.3,4.3,77.8,985.5
2023-11-24 14:00:00,1985,7698,,3608,12.6,13,4.5,77.9,985.5
2023-11-24 15:00:00,1882,7852,,3608,12.4,11.8,0.8,94.6,984.6
2023-11-24 16:00:00,1990,7981,,3608,12.4,8.3,1.8,93.1,984.7
2023-11-24 17:00:00,1918,8041,,3608,12.4,6.9,1.2,94.4,984.2
2023-11-24 18:00:00,1911,7815,,3609,12.4,6.2,1.9,92,984.5
2023-11-24 19:00:00,1940,7918,,3608,12.4,5.5,3.1,85.1,983.6
2023-11-24 20:00:00,1987,8199,,3608,12.3,5.6,2.8,88.2,982.9
2023-11-24 21:00:00,1899,7684,,3608,12.4,5.6,1.9,92.4,982.7
2023-11-24 22:00:00,1982,7952,,3609,12.3,5.3,2.2,88.1,983.1
2023-11-24 23:00:00,2029,7938,,3609,12.4,5.2,1.1,94.2,983.4
2023-11-25 00:00:00,1920,7998,,3609,12.4,4.8,1.5,91.3,985.3
2023-11-25 01:00:00,1926,7946,,3608,12.3,4.7,1.6,90.2,986.6
2023-11-25 02:00:00,1887,7637,,3609,12.3,4.4,1.6,87.7,988.2
2023-11-25 03:00:00,1945,8116,,3609,12.3,4.4,1.3,86.4,988.9
2023-11-25 04:00:00,1854,7758,,3608,12.3,4.3,1,86,989.6
2023-11-25 05:00:00,1846,7795,,3609,12.3,4.1,0.8,85.4,990.2
2023-11-25 06:00:00,1899,7895,,3608,12.3,3.7,0.6,85.3,990.5
2023-11-25 07:00:00,1789,7817,,3609,12.3,3.3,1.1,84.1,990.9
2023-11-25 08:00:00,1864,8105,,3608,12.3,3.8,1.6,82.8,991.1
2023-11-25 09:00:00,1790,7841,,3608,12.4,4.5,2.5,80.9,990.6
2023-11-25 10:00:00,1860,7852,,3608,12.3,6,1.7,92.1,990.3
2023-11-25 11:00:00,1867,7983,,3608,12.3,5.7,1.8,94.5,989.8
2023-11-25 12:00:00,1812,7505,,3609,12.3,5.5,2.4,93.9,989
2023-11-25 13:00:00,1829,7828,,3608,12.3,5.7,2.7,94.7,988.6
2023-11-25 14:00:00,1751,7777,,3609,12.3,5.8,2.8,94.7,988.8
2023-11-25 15:00:00,1865,7914,,3609,12.3,5.8,2.9,95.5,989.1
2023-11-25 16:00:00,1730,7924,,3608,12.4,5.7,2.5,94.6,989.3
2023-11-25 17:00:00,1818,7723,,3608,12.3,5.6,2.4,95.7,989.8
2023-11-25 18:00:00,1851,7700,,3609,12.3,5.4,2,94.3,990.8
2023-11-25 19:00:00,1707,7988,,3608,12.3,5,2.1,94.3,991.6
2023-11-25 20:00:00,1767,7931,,3609,12.3,5,1.9,94.5,992.2
2023-11-25 21:00:00,1836,7808,,3608,12.3,4.9,1.9,94.4,993.3
2023-11-25 22:00:00,1759,7696,,3609,12.3,4.8,1.1,94,993.6
2023-11-25 23:00:00,1746,7589,,3608,12.3,4.2,0.9,93.4,994.7
2023-11-26 00:00:00,1753,7934,,3609,12.3,4.2,0.9,86.6,994.9
2023-11-26 01:00:00,1739,7710,,3609,12.3,4,0.7,86,995.2
2023-11-26 02:00:00,1659,7867,,3609,12.3,3.7,0.4,92,996.1
2023-11-26 03:00:00,1723,7767,,3608,12.3,3.7,0.6,92.7,996.1
2023-11-26 04:00:00,1740,7557,,3609,12.2,3.7,0.8,88.3,996.4
2023-11-26 05:00:00,1759,7784,,3608,12.3,3.7,1,85.8,996.7
2023-11-26 06:00:00,1648,7748,,3609,12.3,3.8,0.5,86,997.2
2023-11-26 07:00:00,1656,7547,,3608,12.3,3.5,0.4,87,997.5
2023-11-26 08:00:00,1748,7742,,3609,12.3,3.7,0.4,87.8,998.2
2023-11-26 09:00:00,1711,7660,,3608,12.7,4.1,0.8,84.7,998.8
2023-11-26 10:00:00,1719,7776,,3608,13.1,5.9,1.6,79.1,999
2023-11-26 11:00:00,1685,7556,,3609,13.3,7.1,3,67.7,998.7
2023-11-26 12:00:00,1733,7602,,3609,12.9,8.7,3.1,75.3,998.6
2023-11-26 13:00:00,1738,7814,,3608,12.7,8.1,3.3,76.2,998.2
2023-11-26 14:00:00,1740,7533,,3609,12.6,7.1,3.2,80.3,997.8
2023-11-26 15:00:00,1711,7562,,3608,12.6,6.5,3.1,84,997.1
2023-11-26 16:00:00,1748,7745,,3608,12.5,6.1,3,87.1,996.9
2023-11-26 17:00:00,1783,7551,,3609,12.5,6,2.8,88.5,996.6
2023-11-26 18:00:00,1759,7747,,3609,12.4,5.9,2.7,89.9,996.6
2023-11-26 19:00:00,1659,7627,,3608,12.4,5.8,2.7,92.7,996.6
2023-11-26 20:00:00,1631,7796,,3608,12.4,5.8,3,91.8,996.7
2023-11-26 21:00:00,1775,7928,,3609,12.3,5.8,3.2,94.3,996.4
2023-11-26 22:00:00,1738,7588,,3608,12.3,5.9,3.3,95.9,996
2023-11-26 23:00:00,1727,7735,,3609,12.3,6,3.3,97,995.7
2023-11-27 00:00:00,1714,7812,,3609,12.3,6.1,3.5,97.5,995.3
2023-11-27 01:00:00,1748,7823,,3608,12.3,6.2,3.5,95.2,995
2023-11-27 02:00:00,1653,7527,,3608,12.2,6.2,3.3,96.5,994.5
2023-11-27 03:00:00,1756,7814,,3609,12.2,6.2,3.5,96.1,994
2023-11-27 04:00:00,1774,7609,,3609,12.3,6.2,3.5,96.6,993.7
2023-11-27 05:00:00,1710,7757,,3609,12.2,6.2,3.6,96.2,993.3
